	identifier	created	modified	size	species	nauthors	ecephys	ophys	icephys	numberOfSubjects	numberOfFiles	has_related_pub
89	000236	2022-04-16 22:43:22.902984+00:00	2022-04-16 22:43:22.903016+00:00	39306115613	Zebrafish	2	False	True	False	9.0	9	False
90	000237	2022-04-16 22:44:59.032387+00:00	2022-08-31 21:14:34.908463+00:00	30057962408	Zebrafish	1	False	True	False	8.0	8	False
91	000238	2022-04-16 22:46:04.756411+00:00	2022-04-16 22:46:04.756441+00:00	25911936112	Zebrafish	2	False	True	False	6.0	6	False
92	000239	2022-04-21 13:39:44.869169+00:00	2022-04-21 13:42:56.378331+00:00	11769901909	House mouse	7	True	False	False	33.0	754	True
93	000244	2022-05-09 20:37:01.714202+00:00	2022-05-31 22:22:08.705130+00:00	1068310244612	House mouse	1	False	True	False	25.0	33	False
94	000245	2022-05-10 10:26:55.253343+00:00	2022-05-10 11:27:25.206222+00:00	408910387	House mouse	2	False	False	True	25.0	25	False
95	000246	2022-05-10 13:48:03.201306+00:00	2022-05-10 14:57:02.023062+00:00	2134855240972	House mouse	1	False	True	False	146.0	1027	False
96	000247	2022-05-12 10:51:30.664184+00:00	2023-03-28 16:20:02.786133+00:00	30300179800	Fruit fly	2	False	False	False	158.0	194	False
97	000248	2022-05-17 21:44:37.654103+00:00	2024-05-02 21:44:34.432413+00:00	186040629095	House mouse	27	True	False	False	12.0	78	False
98	000249	2022-05-18 13:58:54.819909+00:00	2022-05-28 13:11:13.827382+00:00	97968237237	House mouse	7	False	True	False	54.0	777	True
99	000250	2022-05-19 18:31:17.877702+00:00	2023-03-28 16:17:29.615919+00:00	100324608	Fruit fly	2	False	False	False	3.0	3	False
100	000251	2022-05-23 20:41:16.503656+00:00	2022-05-25 16:00:56.162226+00:00	2170119624	House mouse	11	True	False	False	53.0	513	False
101	000252	2022-05-29 15:58:08.867753+00:00	2022-05-29 15:58:08.867772+00:00	38128728	Human	4	True	False	False	2.0	12	True
102	000253	2022-06-10 22:31:41.258881+00:00	2024-10-01 20:13:33.278453+00:00	679753396585	House mouse	25	True	False	False	14.0	98	False
103	000288	2022-06-28 06:19:13.950846+00:00	2022-07-01 22:59:43.030323+00:00	1049737334	Human	6	False	False	True	12.0	36	False
104	000289	2022-06-29 17:26:03.175597+00:00	2024-07-19 15:52:00.871046+00:00	761176077983	Fruit fly	2	False	True	False	66.0	221	False
105	000292	2022-07-07 21:28:23.171592+00:00	2022-07-07 21:28:23.171619+00:00	13764872	House mouse	4	False	False	True	11.0	11	False
106	000293	2022-07-07 22:15:44.727530+00:00	2022-07-08 16:52:17.984741+00:00	234976142	Human	4	False	False	True	201.0	121	False
107	000294	2022-07-15 11:27:46.490921+00:00	2022-07-15 11:27:46.490941+00:00	18173614543	Rat	12	True	False	True	2.0	2	False
108	000295	2022-07-20 09:51:43.692134+00:00	2022-07-20 09:58:55.016487+00:00	476091831	House mouse	2	False	False	True	26.0	26	False
109	000296	2022-07-20 15:15:55.421980+00:00	2022-07-20 15:41:33.513937+00:00	745311363665	Fruit fly	1	False	True	False	1188.0	1278	False
110	000297	2022-07-26 00:46:20.877977+00:00	2022-07-26 00:46:20.877995+00:00	231099211	Human	4	False	False	True	197.0	118	False
111	000299	2022-07-28 18:27:25.144853+00:00	2022-07-28 19:30:12.360763+00:00	232448	Rat	1	True	False	False	1.0	1	False
112	000301	2022-08-30 15:42:02.261574+00:00	2023-08-06 00:40:43.194543+00:00	29683186079	House mouse	2	True	False	False	14.0	14	False
113	000302	2022-09-03 00:50:42.699603+00:00	2023-05-04 11:13:48.596087+00:00	1078714284	House mouse	1	True	False	False	12.0	32	False
114	000337	2022-09-18 05:53:58.949542+00:00	2022-09-18 05:53:58.949566+00:00	1532057791	Human	1	False	False	True	12.0	21	False
115	000338	2022-09-24 11:52:04.496163+00:00	2022-09-24 11:52:04.496184+00:00	740232574	Rhesus monkey	1	False	False	False	2.0	2	False
116	000339	2022-09-26 20:33:09.788694+00:00	2023-09-14 18:58:34.943156+00:00	64243853984	Rat	4	True	False	False	30.0	66	False
117	000341	2022-09-29 09:00:51.120962+00:00	2022-09-29 09:01:51.498890+00:00	711580684440	Rat	2	False	False	True	310.0	787	False
118	000347	2022-10-21 20:33:12.034944+00:00	2022-10-21 20:33:12.034974+00:00	26039386048	Pig-tailed macaque	1	False	True	False	3.0	9	False
119	000350	2022-10-30 19:50:01.557863+00:00	2024-08-22 17:59:12.154669+00:00	5865794202897	Zebrafish	11	False	True	False	12.0	12	True
120	000351	2022-11-04 18:47:21.880790+00:00	2022-11-04 18:47:21.880811+00:00	98548166664	House mouse	9	False	False	False	28.0	428	False
121	000362	2022-11-16 18:09:13.418874+00:00	2022-11-16 18:09:13.418906+00:00	397456462638	House mouse	1	False	True	True	11.0	52	False
122	000363	2022-11-22 00:16:37.650241+00:00	2023-10-05 20:15:16.926711+00:00	65700262850745	House mouse	4	True	False	False	28.0	174	False
123	000397	2022-11-29 20:11:25.048041+00:00	2022-12-01 16:24:22.794821+00:00	24071283109	Human	15	True	False	False	3.0	3	True
124	000398	2022-12-02 19:20:44.950087+00:00	2024-07-05 19:01:34.362888+00:00	61125796879	House mouse	16	True	False	False	5.0	42	False
125	000399	2022-12-11 06:15:01.030408+00:00	2022-12-11 06:15:01.030435+00:00	86582248	House mouse	1	True	False	False	19.0	105	False
126	000402	2023-01-04 10:47:01.770484+00:00	2023-11-07 23:01:32.674712+00:00	1347665448061	House mouse	76	False	True	False	1.0	19	True
127	000404	2023-01-12 06:00:12.941755+00:00	2023-06-05 20:23:08.326292+00:00	1046740856	Rhesus monkey	6	False	False	False	2.0	13	False
128	000405	2023-01-12 22:33:15.332269+00:00	2023-01-12 22:33:15.332286+00:00	3877487528	Rat	1	False	False	False	5.0	276	False
129	000408	2023-01-30 20:19:43.718103+00:00	2024-05-09 17:00:40.268127+00:00	44500560	Rat	3	False	False	False	3.0	228	False
